1. the,le
1078. stake,1078.
1079. solution,1079. Solution
1080. charged,1080. Chargé
1081. cause,1081. Cause
1082. PCs,1082. PCS
1083. greater,1083.
1084. box,1084. Boîte
1085. issued,1085. Émis
1086. evidence,1086. Preuve
1087. sure,1087. Bien sûr
1088. division,1088. Division
1089. beginning,1089. Début
1090. workstations,1090. Postes de travail
1091. helped,1091. Aidé
1092. region,1092. Région
1093. spent,1093. dépensé
1094. room,1094. Salle
1095. advantage,1095. Avantage
1096. you're,1096. Vous êtes
1097. Another,1097. Un autre
1098. planning,1098. Planification
1099. testing,1099. Test
1100. increases,1100. augmente
1101. William,1101. William
1102. fund,1102. Fonds
1103. instead,1103. à la place
1104. Canada,1104. Canada
1105. particular,1105. particulier
1106. produced,1106. produit
1107. overall,1107. Dans l'ensemble
1108. receive,1108. Recevoir
1109. activity,1109. Activité
1110. wife,1110. Épouse
1111. nothing,1111. Rien
1112. whole,1112. entier
1113. minutes,1113. Minutes
1114. L,1114. l
1115. mode,1115. Mode
1116. dollars,1116. dollars
1117. care,1117. CARE
1118. tried,1118. Essayé
1119. Its,1119. son
1120. Iraq,1120. Irak
1121. Lotus,1121. Lotus
1122. flow,1122. Flux
1123. fast,1123. Rapide
1124. Treasury,1124. Trésor
1125. chip,1125. Chip
1126. usually,1126. Habituellement
1127. serious,1127. sérieux
1128. values,1128. Valeurs
1129. types,1129. Types
1130. devices,1130. Appareils
1131. page,1131. Page
1132. consider,1132. Considérez
1133. customer,1133. Client
1134. holding,1134. Tenant
1135. construction,1135. Construction
1136. tool,1136. outil
1137. images,1137. Images
1138. powerful,1138. puissant
1139. opposition,1139. opposition
1140. Wall,1140. Mur
1141. Minister,1141. Ministre
1142. minister,1142. Ministre
1143. initial,1143. Initial
1144. fuel,1144. carburant
1145. coming,1145. Venant
1146. Americans,1146. Américains
1147. desktop,1147. Desktop
1148. developers,1148. développeurs
1149. window,1149. fenêtre
1150. contracts,1150. Contrats
1151. heavy,1151.
1152. attorney,1152. avocat
1153. rest,1153. Repos
1154. bad,1154. Mauvais
1155. George,1155. George
1156. game,1156. Jeu
1157. executives,1157. cadres
1158. versions,1158. Versions
1159. Y,1159. y
1160. bought,1160. Acheté
1161. IBM's,1161. IBM
1162. gives,1162. Donne
1163. changed,1163. Changé
1164. survey,1164. Enquête
1165. session,1165. Session
1166. consumer,1166. consommateur
1167. domestic,1167. domestique
1168. Israel,1168. Israël
1169. monitor,1169. Moniteur
1170. related,1170.
1171. Jones,1171. Jones
1172. facilities,1172. Installations
1173. mail,1173. Mail
1174. stores,1174. Magasins
1175. situation,1175. situation
1176. followed,1176. suivi
1177. methods,1177. Méthodes
1178. coal,1178. Charbon
1179. variety,1179. Variété
1180. determine,1180. Déterminer
1181. despite,1181. Malgré
1182. year's,1182.
1183. China,1183. Chine
1184. wasn't,1184. n'était pas
1185. hope,1185. Espoir
1186. utility,1186. Utilité
1187. option,1187. Option
1188. workstation,1188. Passe de travail
1189. judge,1189. Juge
1190. Sun,1190. Soleil
1191. smaller,1191. plus petit
1192. summer,1192. Été
1193. choice,1193. Choix
1194. records,1194. Records
1195. risk,1195. Risque
1196. resources,1196. Ressources
1197. manufacturing,1197. Fabrication
1198. moving,1198. Déplacer
1199. raised,1199.
1200. questions,1200. Questions
1201. larger,1201.
1202. strike,1202. Strike
1203. store,1203. Magasin
1204. published,1204. Publié
1205. faster,1205.
1206. section,1206. Section
1207. Network,1207. Réseau
1208. popular,1208. Populaire
1209. attack,1209. Attaque
1210. seeking,1210. Recherche
1211. subject,1211. Sujet
1212. met,1212. rencontré
1213. projects,1213. Projets
1214. raise,1214. Augmenter
1215. E,1215. E
1216. Services,1216. Services
1217. generally,1217. Généralement
1218. primary,1218. Primaire
1219. Information,1219. Informations
1220. property,1220. Propriété
1221. organization,1221. Organisation
1222. signed,1222. Signé
1223. orders,1223. Commandes
1224. packages,1224. Packages
1225. ahead,1225.
1226. impact,1226. Impact
1227. developing,1227. Développement
1228. young,1228. Jeune
1229. measure,1229. Mesure
1230. live,1230. Live
1231. obtained,1231. obtenu
1232. radio,1232. Radio
1233. print,1233. Imprimer
1234. entire,1234. entier
1235. experience,1235. Expérience
1236. slightly,1236. légèrement
1237. attempt,1237. Tentative
1238. de,1238. DE
1239. site,1239. site
1240. internal,1240. interne
1241. ways,1241. façons
1242. O,1242. o
1243. morning,1243. matin
1244. aren't,1244. ne sont pas
1245. Dukakis,1245. Dukakis
1246. request,1246. Demande
1247. joint,1247. Joint
1248. improve,1248. Améliorer
1249. plants,1249. Plantes
1250. Richard,1250. Richard
1251. community,1251. Communauté
1252. Democrats,1252. démocrates
1253. person,1253.
1254. deficit,1254. déficit
1255. resolution,1255. Résolution
1256. success,1256. Succès
1257. expensive,1257. Cher
1258. weapons,1258. Armes
1259. appear,1259. Apparaître
1260. white,1260. blanc
1261. activities,1261. Activités
1262. lets,1262. Permet
1263. woman,1263. Femme
1264. completed,1264. Terminé
1265. land,1265. Terre
1266. determined,1266. déterminé
1267. sub,1267. Sub
1268. Republican,1268. Républicain
1269. suit,1269. Suit
1270. More,1270. Plus
1271. installed,1271. installé
1272. immediately,1272. Immédiatement
1273. acquisition,1273. Acquisition
1274. improved,1274. Amélioré
1275. HP,1275. HP
1276. bus,1276. Bus
1277. gains,1277. Gains
1278. himself,1278. lui-même
1279. ground,1279.
1280. stop,1280. Arrêtez
1281. Securities,1281. Titres
1282. army,1282. Armée
1283. patients,1283. Patients
1284. printers,1284. Imprimantes
1285. increasing,1285.
1286. media,1286. Médias
1287. mean,1287. Moyenne
1288. expansion,1288. Expansion
1289. lack,1289. manque
1290. Sen,1290. Sen
1291. fourth,1291. Quatrième
1292. Angeles,1292. Angeles
1293. damage,1293. Dommages
1294. shot,1294. tir
1295. saw,1295. Saw
1296. France,1296. France
1297. NetWare,1297. NetWare
1298. menu,1298. Menu
1299. noted,1299. Noté
1300. write,1300. Écrivez
1301. Because,1301. Parce que
1302. safety,1302. Sécurité
1303. Police,1303. Police
1304. shareholders,1304. actionnaires
1305. Each,1305. chacun
1306. protection,1306. Protection
1307. cards,1307. Cartes
1308. figure,1308. Figure
1309. peace,1309. Paix
1310. town,1310. Ville
1311. Research,1311. Recherche
1312. oct.,1312. oct.
1313. Technology,1313. Technologie
1314. dealers,1314. Concessionnaires
1315. age,1315. âge
1316. About,1316. À propos
1317. Then,1317. Ensuite
1318. prison,1318. prison
1319. class,1319. Classe
1320. sector,1320. secteur
1321. a.m.,1321. A.M.
1322. wouldn't,1322. ne serait pas
1323. details,1323. Détails
1324. refused,1324. Refusé
1325. material,1325. Matériel
1326. interview,1326. Entretien
1327. opened,1327. Ouvert
1328. ruling,1328. Décision
1329. forced,1329. Forcé
1330. check,1330. Vérifier
1331. actually,1331. En fait
1332. quite,1332. Tout à fait
1333. treatment,1333. Traitement
1334. parties,1334. Parties
1335. table,1335. Tableau
1336. approval,1336. Approbation
1337. Eastern,1337. Eastern
1338. manufacturers,1338. Fabricants
1339. elections,1339. Élections
1340. talk,1340. Talk
1341. integrated,1341. intégré
1342. majority,1342. majorité
1343. couldn't,1343. ne pouvait pas
1344. tell,1344. Tell
1345. poor,1345. Pauvre
1346. Jan,1346. Jan
1347. Gorbachev,1347. Gorbachev
1348. host,1348. Hôte
1349. handle,1349.
1350. appears,1350. apparaît
1351. Ltd,1351. Ltd
1352. engineering,1352. Ingénierie
1353. Canadian,1353. Canadien
1354. Administration,1354. Administration
1355. there's,1355. Il y a
1356. taxes,1356. Taxes
1357. ordered,1357. Ordonna
1358. Communications,1358. Communications
1359. medical,1359. Medical
1360. Tokyo,1360. Tokyo
1361. presidential,1361. présidentiel
1362. easily,1362. facilement
1363. Paul,1363. Paul
1364. wide,1364. large
1365. cable,1365. Câble
1366. agencies,1366. agences
1367. voice,1367. voix
1368. heat,1368. Chaleur
1369. That's,1369. C'est
1370. film,1370. Film
1371. send,1371. Envoyer
1372. components,1372. Composants
1373. comments,1373. Commentaires
1374. Defense,1374. Défense
1375. true,1375. Vrai
1376. 1-2-3,1376. 1-2-3
1377. useful,1377. Utile
1378. attention,1378. Attention
1379. Secretary,1379. Secrétaire
1380. soldiers,1380. Soldats
1381. cuts,1381. Coupes
1382. search,1382. Recherche
1383. port,1383. Port
1384. cover,1384. Couvrir
1385. maker,1385. Maker
1386. Intel,1386. Intel
1387. contains,1387. contient
1388. task,1388. Tâche
1389. H,1389. H
1390. normal,1390. Normal
1391. story,1391. histoire
1392. Act,1392. Act
1393. materials,1393. Matériaux
1394. composite,1394. Composite
1395. benefit,1395. Avantage
1396. established,1396. établi
1397. station,1397. Station
1398. measures,1398. Mesures
1399. thousands,1399. Des milliers
1400. active,1400. actif
1401. relatively,1401.
1402. supported,1402. soutenu
1403. providing,1403. Fournir
1404. format,1404. Format
1405. hospital,1405. Hôpital
1406. slow,1406. lent
1407. plus,1407. Plus
1408. News,1408. News
1409. loan,1409. prêt
1410. Boston,1410. Boston
1411. computing,1411. Informatique
1412. automatically,1412. automatiquement
1413. body,1413. corps
1414. win,1414. Gagnez
1415. arrested,1415. arrêté
1416. identified,1416. Identifié
1417. advanced,1417. Avancé
1418. accounts,1418. Comptes
1419. client,1419. Client
1420. long-term,1420. À long terme
1421. we're,1421. Nous sommes
1422. surface,1422. Surface
1423. suggested,1423. suggéré
1424. feet,1424. pieds
1425. target,1425. cible
1426. Dow,1426. Dow
1427. editor,1427. éditeur
1428. appeared,1428. est apparu
1429. officers,1429. Officiers
1430. hopes,1430. Espère
1431. Digital,1431. numérique
1432. giving,1432. Donner
1433. upgrade,1433. Amélioration
1434. panel,1434. Panneau
1435. reach,1435. RECHERCHE
1436. temperature,1436. Température
1437. nation,1437. Nation
1438. Among,1438. parmi
1439. homes,1439. maisons
1440. payments,1440. Paiements
1441. carried,1441. transporté
1442. bit,1442. Bit
1443. names,1443. Noms
1444. fonts,1444. Polices
1445. critical,1445. Critique
1446. estate,1446. Estate
1447. finance,1447. Finance
1448. facility,1448. Facilité
1449. hearing,1449. entendre
1450. daily,1450. tous les jours
1451. visit,1451. Visitez
1452. indicated,1452. indiqué
1453. traders,1453. Traders
1454. traffic,1454. Trafic
1455. Council,1455. Conseil
1456. Dec,1456. Dec
1457. gold,1457. Gold
1458. recovery,1458. Récupération
1459. legislation,1459. Législation
1460. goes,1460. va
1461. takeover,1461. Takeover
1462. save,1462. Économisez
1463. seem,1463. sembler
1464. TV,1464. TV
1465. reporters,1465. Reporteurs
1466. limit,1466. Limite
1467. SQL,1467. SQL
1468. natural,1468. Natural
1469. currency,1469. devise
1470. mainframe,1470. Mainframe
1471. V,1471. V
1472. pounds,1472. livres
1473. negotiations,1473. négociations
1474. maximum,1474. Maximum
1475. plane,1475. Planifier
1476. cell,1476. Cell
1477. spokeswoman,1477. porte-parole
1478. announcement,1478. Annonce
1479. sup,1479. sup
1480. season,1480. Saison
1481. estimates,1481. Estimations
1482. District,1482. District
1483. successful,1483. réussi
1484. stage,1484. étape
1485. object,1485. Objet
1486. sept.,1486. ​​Sept.
1487. believed,1487. croyait
1488. distributed,1488. Distribué
1489. chemical,1489. chimique
1490. claim,1490. Réclamation
1491. easier,1491. Plus facile
1492. accounting,1492. comptabilité
1493. Smith,1493. Smith
1494. accused,1494. Accusé
1495. education,1495. Éducation
1496. Britain,1496. Grande-Bretagne
1497. sense,1497. sens
1498. Aug,1498. août
1499. Santa,1499. Père Noël
1500. Gulf,1500. Golfe
1501. copy,1501. Copier
1502. Communist,1502. communiste
1503. apparently,1503. Apparemment
1504. status,1504. Statut
1505. Francisco,1505. Francisco
1506. retail,1506. Retail
1507. techniques,1507. Techniques
1508. they're,1508. Ils sont
1509. fields,1509. champs
1510. regulations,1510. Règlements
1511. placed,1511. Placé
1512. fully,1512. pleinement
1513. returned,1513. retourné
1514. aircraft,1514. avion
1515. Ethernet,1515. Ethernet
1516. civil,1516. civil
1517. Pacific,1517. Pacifique
1518. Army,1518. Armée
1519. Judge,1519. Juge
1520. focus,1520. Focus
1521. Central,1521. Central
1522. quoted,1522. Cité
1523. tape,1523. ruban
1524. everything,1524. Tout
1525. Of,1525. de
1526. passed,1526. passé
1527. fax,1527. Fax
1528. highly,1528.
1529. inside,1529. à l'intérieur
1530. Rep,1530. Rep
1531. extended,1531.
1532. studies,1532. Études
1533. forms,1533. Formulaires
1534. stay,1534. Restez
1535. commands,1535. Commandes
1536. performed,1536. Effectué
1537. Moscow,1537. Moscou
1538. savings,1538. Économies
1539. concerns,1539. Préoccupations
1540. labor,1540. Travail
1541. relations,1541. Relations
1542. upon,1542.
1543. Dr,1543. Dr
1544. W,1544. W
1545. architecture,1545. Architecture
1546. adding,1546. Ajout
1547. buyers,1547. Acheteurs
1548. offices,1548. Bureaux
1549. block,1549. Bloc
1550. avoid,1550. Évitez
1551. Supreme,1551. Suprême
1552. goods,1552. marchandises
1553. secretary,1553. Secrétaire
1554. throughout,1554. tout au long
1555. nations,1555. Nations
1556. believes,1556. croit
1557. War,1557. Guerre
1558. remote,1558. Remote
1559. Plus,1559. Plus
1560. banking,1560. Banque
1561. policies,1561. Politiques
1562. ship,1562. Ship
1563. procedures,1563. Procédures
1564. sign,1564. Signe
1565. kept,1565.
1566. ready,1566. Prêt
1567. objects,1567. Objets
1568. transaction,1568. Transaction
1569. acquired,1569. acquis
1570. traditional,1570. traditionnel
1571. link,1571. Lien
1572. act,1572. Act
1573. heart,1573. Cœur
1574. Thomas,1574. Thomas
1575. denied,1575. refus
1576. subsidiary,1576. Filiale
1577. huge,1577. Énorme
1578. difference,1578. Différence
1579. chance,1579. Chance
1580. environmental,1580. Environnement
1581. schools,1581. Écoles
1582. Users,1582. utilisateurs
1583. Institute,1583. Institut
1584. fighting,1584. Combattre
1585. seek,1585. Cherchez
1586. fight,1586. combattre
1587. recession,1587. Récession
1588. outstanding,1588. exceptionnel
1589. fair,1589. Foire
1590. VGA,1590. VGA
1591. Force,1591. Force
1592. hasn't,1592. n'a pas
1593. adds,1593. Ajoute
1594. Development,1594. Développement
1595. properties,1595. Propriétés
1596. concerned,1596. concerné
1597. words,1597. Mots
1598. appeal,1598. Appel
1599. regional,1599. régional
1600. Florida,1600. Floride
1601. During,1601. pendant
1602. error,1602. Erreur
1603. settlement,1603. Settlement
1604. clients,1604. Clients
1605. laws,1605. Lois
1606. Israeli,1606. Israélien
1607. flight,1607. Vol
1608. controls,1608. Contrôles
1609. competitive,1609. Competitive
1610. appropriate,1610. approprié
1611. I've,1611. J'ai
1612. factors,1612. Facteurs
1613. alternative,1613. Alternative
1614. son,1614. Fils
1615. alone,1615. seul
1616. Meanwhile,1616. Entre-temps
1617. associated,1617. Associé
1618. Security,1618. Sécurité
1619. generation,1619. Génération
1620. boards,1620. Boards
1621. crash,1621. Crash
1622. Justice,1622. Justice
1623. Big,1623. Big
1624. failure,1624. Échec
1625. intended,1625.
1626. prepared,1626. Préparé
1627. mostly,1627. Surtout
1628. items,1628. Articles
1629. government's,1629. Le gouvernement
1630. factor,1630. Facteur
1631. music,1631. Musique
1632. chips,1632. Chips
1633. allowing,1633. Autoriser
1634. beyond,1634. Au-delà
1635. tested,1635. Testé
1636. opening,1636. Ouverture
1637. claimed,1637. revendiqué
1638. answer,1638. Réponse
1639. maintain,1639. Maintenir
1640. laser,1640. Laser
1641. delivery,1641. Livraison
1642. sites,1642. Sites
1643. Foreign,1643. étranger
1644. strength,1644. Force
1645. Jackson,1645. Jackson
1646. discuss,1646. Discuter
1647. PostScript,1647. PostScript
1648. servers,1648. Serveurs
1649. spend,1649. dépenser
1650. gained,1650.
1651. compatible,1651. Compatible
1652. couple,1652. Couple
1653. marks,1653. Marques
1654. remained,1654. Reste
1655. rejected,1655. Rejeté
1656. selected,1656. Sélectionné
1657. Iran,1657. Iran
1658. movement,1658. Mouvement
1659. maintenance,1659. Entretien
1660. AIDS,1660. SIDA
1661. events,1661. Événements
1662. Ford,1662. Ford
1663. venture,1663. Venture
1664. population,1664. Population
1665. crisis,1665. Crise
1666. Business,1666. Business
1667. disks,1667. Disques
1668. Those,1668. ceux
1669. border,1669. Border
1670. understand,1670. Comprendre
1671. responsible,1671. Responsable
1672. percentage,1672. Pourcentage
1673. continuing,1673. Continue
1674. arms,1674. Armes
1675. enter,1675. Entrez
1676. waste,1676. Déchets
1677. F,1677. F
1678. Kuwait,1678. Koweït
1679. drugs,1679. Drogues
1680. living,1680. Vivre
1681. cells,1681. cellules
1682. fine,1682. Très bien
1683. input,1683. Entrée
1684. prime,1684. Prime
1685. largely,1685. en grande partie
1686. publishing,1686. Publication
1687. dividend,1687. Dividende
1688. ask,1688. Demandez
1689. K,1689. k
1690. looks,1690. Regarde
1691. reduction,1691. Réduction
1692. prevent,1692. Empêcher
1693. highest,1693.
1694. minimum,1694. minimum
1695. someone,1695. Quelqu'un
1696. reasons,1696. Raisons
1697. phase,1697. Phase
1698. event,1698. Événement
1699. accept,1699. Acceptez
1700. advertising,1700. Publicité
1701. operate,1701. Opérer
1702. writing,1702. Écriture
1703. Three,1703. Trois
1704. Mass,1704. Masse
1705. article,1705. Article
1706. Mexico,1706. Mexique
1707. child,1707. Enfant
1708. starting,1708. Début
1709. listed,1709. répertorié
1710. Our,1710. Notre
1711. country's,1711. pays
1712. anyone,1712. n'importe qui
1713. VAX,1713. Vax
1714. configuration,1714. Configuration
1715. perform,1715. Effectuer
1716. connection,1716. Connexion
1717. rising,1717.
1718. interested,1718. Intéressé
1719. residents,1719. résidents
1720. modem,1720. Modem
1721. remaining,1721.
1722. extra,1722. Extra
1723. merger,1723. Merreur
1724. owned,1724.
1725. cities,1725. Cities
1726. else,1726. Sinon
1727. Chinese,1727. Chinois
1728. leaving,1728. partir
1729. Several,1729. Plusieurs
1730. Such,1730. Tel
1731. break,1731. Break
1732. Novell,1732. Novell
1733. goal,1733. Objectif
1734. keyboard,1734. Clavier
1735. joined,1735. Rejoint
1736. parallel,1736. Parallèle
1737. sometimes,1737. Parfois
1738. battle,1738. Bataille
1739. wrote,1739. Écrit
1740. sound,1740.
1741. Arab,1741. Arabe
1742. Park,1742. Park
1743. speech,1743. Discours
1744. he's,1744. Il est
1745. directors,1745. Directeurs
1746. capability,1746. Capacité
1747. dead,1747. Mort
1748. Hong,1748. Hong
1749. formed,1749. Formé
1750. commission,1750. Commission
1751. character,1751. Caractère
1752. spreadsheet,1752. feuille de calcul
1753. am,1753. Am
1754. carry,1754. transporter
1755. sets,1755. SETS
1756. supplies,1756. Supplies
1757. hour,1757. heure
1758. elements,1758. Éléments
1759. weekend,1759. week-end
1760. Despite,1760. Malgré
1761. Iraqi,1761. Irakien
1762. jury,1762. Jury
1763. pages,1763. Pages
1764. unchanged,1764. inchangé
1765. post,1765. Post
1766. external,1766.
1767. driver,1767. Conducteur
1768. Agency,1768. Agence
1769. nov.,1769. Nov.
1770. mouse,1770. Souris
1771. Press,1771. Presse
1772. combined,1772. combiné
1773. instance,1773. Instance
1774. perhaps,1774. Peut-être
1775. balance,1775. Équilibre
1776. utilities,1776. services publics
1777. implementation,1777. Implémentation
1778. ones,1778.
1779. installation,1779. Installation
1780. creating,1780. Création
1781. controller,1781. Contrôleur
1782. makers,1782. fabricants
1783. terminal,1783. Terminal
1784. Navy,1784. Marine
1785. opportunity,1785. Opportunité
1786. wrong,1786. Mauvais
1787. hundreds,1787. Des centaines
1788. Not,1788. Pas
1789. occurred,1789. s'est produit
1790. progress,1790. Progrès
1791. processes,1791. Processus
1792. personnel,1792. Personnel
1793. stand,1793. Stand
1794. interests,1794. Intérêts
1795. except,1795. Sauf
1796. switch,1796. Commutation
1797. track,1797. Piste
1798. magazine,1798. Magazine
1799. bills,1799. Bills
1800. documentation,1800. Documentation
1801. engine,1801. Moteur
1802. III,1802. III
1803. conducted,1803. Conduit
1804. messages,1804. Messages
1805. housing,1805. Logement
1806. entry,1806. Entrée
1807. knowledge,1807. Connaissances
1808. England,1808. Angleterre
1809. We're,1809. Nous sommes
1810. hands,1810. MAINS
1811. relationship,1811. Relation
1812. world's,1812. Monde
1813. lives,1813. Lives
1814. lawyer,1814. avocat
1815. organizations,1815. Organisations
1816. sharply,1816.
1817. notice,1817. Avis
1818. combination,1818. combinaison
1819. serve,1819. Servir
1820. Africa,1820. Afrique
1821. library,1821. Bibliothèque
1822. institutions,1822. Institutions
1823. art,1823. Art
1824. follow,1824. Suivez
1825. protect,1825. Protéger
1826. gone,1826. parti
1827. floor,1827. Plancher
1828. calling,1828. Appel
1829. heard,1829. entendu
1830. served,1830. servi
1831. played,1831. joué
1832. Only,1832. seulement
1833. G,1833. g
1834. parents,1834. Parents
1835. replace,1835. Remplacer
1836. considering,1836. Considérer
1837. gets,1837.
1838. social,1838. Social
1839. travel,1839. Voyage
1840. eventually,1840. Finalement
1841. airline,1841. Airline
1842. headquarters,1842. Siège social
1843. aimed,1843. destiné
1844. Charles,1844. Charles
1845. note,1845. Remarque
1846. located,1846. Situé
1847. decade,1847. Décennie
1848. continues,1848. Continue
1849. Analysts,1849. Analystes
1850. southern,1850. Southern
1851. Once,1851. Une fois
1852. processors,1852. Processeurs
1853. procedure,1853. Procédure
1854. mother,1854. Mère
1855. global,1855. Global
1856. excellent,1856. Excellent
1857. Model,1857. Modèle
1858. northern,1858. Nord
1859. mass,1859. Masse
1860. From,1860. de
1861. digital,1861. numérique
1862. Feb,1862. février
1863. printing,1863. Impression
1864. Jr,1864. Jr
1865. UNIX,1865. Unix
1866. restructuring,1866. restructuration
1867. agree,1867. D'accord
1868. How,1868. Comment
1869. conventional,1869. Conventionnel
1870. Bell,1870. cloche
1871. widely,1871. largement
1872. Standard,1872. Standard
1873. applied,1873. Appliqué
1874. lawyers,1874. avocats
1875. practice,1875. Pratique
1876. solutions,1876. Solutions
1877. sought,1877. recherché
1878. boost,1878. Boost
1879. Energy,1879. Énergie
1880. export,1880. Exportation
1881. windows,1881. Windows
1882. clearly,1882. Clairement
1883. showing,1883. Affichage
1884. tons,1884. Tonnes
1885. candidate,1885. candidat
1886. graphical,1886. Graphique
1887. measured,1887. mesuré
1888. equity,1888. Carity
1889. choose,1889. Choisissez
1890. estimate,1890. Estimer
1891. mainly,1891. Principalement
1892. district,1892. District
1893. studied,1893. étudié
1894. integration,1894. Intégration
1895. Prime,1895. Prime
1896. radiation,1896. Radiation
1897. drivers,1897. Conducteurs
1898. experts,1898. Experts
1899. closing,1899. Clôture
1900. technique,1900. Technique
1901. rebels,1901. Rebels
1902. holds,1902. tient
1903. ran,1903. Ran
1904. unless,1904. sauf si
1905. learn,1905. Apprenez
1906. debate,1906. Débat
1907. convicted,1907. Condamné
1908. refs,1908. REFS
1909. steel,1909. acier
1910. families,1910. Familles
1911. parameters,1911. Paramètres
1912. Open,1912. Ouvert
1913. predicted,1913. prévu
1914. figs,1914. Figs
1915. decisions,1915. Décisions
1916. finished,1916. terminé
1917. decide,1917. Décider
1918. There's,1918. Il y a
1919. alleged,1919. présumé
1920. direction,1920. Direction
1921. launched,1921. Lancé
1922. candidates,1922. candidats
1923. Kong,1923. Kong
1924. load,1924. Charge
1925. Chairman,1925. Président
1926. environments,1926. Environnements
1927. Times,1927. Times
1928. physical,1928. physique
1929. steps,1929. Étapes
1930. filing,1930. Dépôt
1931. stations,1931. Stations
1932. rally,1932. Rallye
1933. felt,1933. Felt
1934. spread,1934. Proprefait
1935. trouble,1935. Trouble
1936. exports,1936. Exportations
1937. race,1937. Race
1938. south,1938. Sud
1939. father,1939. Père
1940. ensure,1940. Assurer
1941. books,1941. Livres
1942. actions,1942. Actions
1943. influence,1943. Influence
1944. Financial,1944. Financière
1945. thus,1945. Ainsi
1946. affected,1946. affecté
1947. positions,1947. Positions
1948. setting,1948. Définition
1949. reporting,1949. Reportage
1950. proposals,1950. Propositions
1951. emergency,1951. urgence
1952. reaction,1952. Réaction
1953. differences,1953. Différences
1954. grow,1954. grandir
1955. floppy,1955. Vale
1956. possibility,1956. Possibilité
1957. represents,1957. représente
1958. Soviets,1958. Soviétiques
1959. Instead,1959. plutôt
1960. injured,1960. blessé
1961. student,1961. Étudiant
1962. Compaq,1962. Compaq
1963. automatic,1963. Automatique
1964. auto,1964. Auto
1965. managing,1965. Gestion
1966. databases,1966. Bases de données
1967. mixed,1967. mixte
1968. indicate,1968. Indiquer
1969. fear,1969. Peur
1970. presence,1970. Présence
1971. positive,1971. positif
1972. Peter,1972. Peter
1973. spring,1973. printemps
1974. ruled,1974. gouverné
1975. changing,1975. changeant
1976. blood,1976. sang
1977. violence,1977. Violence
1978. certainly,1978. certainement
1979. becomes,1979. devient
1980. substantial,1980.
1981. fired,1981. tiré
1982. authority,1982. Autorité
1983. bytes,1983. octets
1984. improvement,1984. Amélioration
1985. twice,1985. deux fois
1986. entered,1986. Entré
1987. People,1987. People
1988. manual,1988. Manuel
1989. hot,1989. chaud
1990. launch,1990. Lancement
1991. north,1991. Nord
1992. congressional,1992. Congrès
1993. sides,1993.
1994. Ohio,1994. Ohio
1995. vendor,1995. Vendeur
1996. movie,1996. film
1997. agents,1997. Agents
1998. elected,1998. Élu
1999. forward,1999.
2000. becoming,2000. devenir